K_p,K_i,K_d,total,tracking,overshoot_cost,control,omega_final,omega_max,overshoot,overshoot_percent,settling_time,steady_state_error,steady_state_error_percent,voltage_max_abs,saturation_fraction,saturation_percent
0.02,0.0,0.0,0.27639773547093544,0.4605611053028731,0.0,0.00040714859474384605,0.5078747367679647,0.5078747367679647,0.0,0.0,inf,0.9596924812088916,95.96924812088916,0.252,0.0,0.0
0.04,0.0,0.0,0.2555905041823077,0.42560710611139413,0.0,0.001508270103141758,0.9763934751873145,0.9763934751873145,0.0,0.0,inf,0.9225084543502131,92.25084543502132,0.504,0.0,0.0
0.06,0.0,0.0,0.23716284125140624,0.39448341443959495,0.0,0.003151950584328559,1.4099602146134136,1.4099602146134136,0.0,0.0,inf,0.8880983956656021,88.80983956656021,0.756,0.0,0.0
0.08,0.0,0.0,0.22077309789393068,0.3666505651950947,0.0,0.005218391845825797,1.8123454965922623,1.8123454965922623,0.0,0.0,inf,0.856163055826011,85.6163055826011,1.008,0.0,0.0
0.1,0.0,0.0,0.20613831001608793,0.34166076431233783,0.0,0.0076123428579015565,2.186796344798636,2.186796344798636,0.0,0.0,inf,0.8264447345397907,82.64447345397907,1.26,0.0,0.0
0.15,0.0,0.0,0.17577278339502916,0.28931279742300464,0.0,0.014567366274842683,3.0182756972627067,3.0182756972627067,0.0,0.0,inf,0.760454309741055,76.0454309741055,1.89,0.0,0.0
0.2,0.0,0.0,0.1522228831706654,0.2481296869077455,0.0,0.0223004735067874,3.726788859732315,3.726788859732315,0.0,0.0,inf,0.704223106370451,70.4223106370451,2.52,0.0,0.0
0.3,0.0,0.0,0.11875229599249049,0.18833068856558483,0.0,0.038359219020930646,4.869970862683046,4.869970862683046,0.0,0.0,inf,0.613494375977536,61.3494375977536,3.78,0.0,0.0
0.5,0.0,0.0,0.08167447202176267,0.11907208659460783,0.0,0.0682081337666532,6.453692478662168,6.453692478662168,0.0,0.0,inf,0.4878021842331614,48.78021842331614,6.3,0.0,0.0
0.8,0.0,0.0,0.057376180318567595,0.06966814465824502,0.0,0.10383529015747059,7.898539238449912,7.898810309611706,0.0,0.0,inf,0.37313180647222915,37.313180647222914,10.08,0.0,0.0
